Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,20250225_Lipids_Blank_pos_03,20250225_Lipids_Blank_pos_04,20250225_Lipids_LC_pos_01,20250225_Lipids_LC_pos_02,20250225_Lipids_LC_pos_03,20250225_Lipids_LC_pos_04,20250225_Lipids_LC_pos_05,20250225_Lipids_LC_pos_06,20250225_Lipids_LC_pos_07,20250225_Lipids_LC_pos_08,20250225_Lipids_LC_pos_09,20250225_Lipids_LC_pos_10,20250225_Lipids_LC_pos_11,20250225_Lipids_LC_pos_12,20250225_Lipids_LC_pos_13,20250225_Lipids_LC_pos_14
10,1.073,204.17484,Unknown,[M+H]+,null,0.31,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,10,0,0,null,null,null,null,null,null,null,18.1,20250225_Lipids_LC_pos_02,204.17484:84580 205.17950:21608 206.18417:0,null,11762,8694,5853,637021,0,43260,8209,59641,56090,96838,0,49757,0,328149,497502,282523
11,0.816,204.87018,Unknown,[M+H]+,null,0.13,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,11,0,0,null,null,null,null,null,null,null,37.94,20250225_Lipids_Blank_pos_03,204.87018:106757 205.87485:4903 206.87951:0,56.86115:4305 62.75507:3778 65.50011:4146 70.46775:3774 94.92915:33623 142.27538:3916,581050,525331,75795,64105,676,396,72398,64803,17572,28199,0,0,254,118,52700,56586
12,6.391,204.87025,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,12,0,0,null,null,null,null,null,null,null,6.6,20250225_Lipids_LC_pos_06,204.87025:90487 205.87492:0 206.87959:0,null,121325,121409,166817,397834,194072,314979,181594,483878,323591,266257,132520,154624,328339,547306,202399,164326
13,5.504,204.87027,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,13,0,0,null,null,null,null,null,null,null,3.54,20250225_Lipids_LC_pos_08,204.87027:63336 205.87494:0 206.87961:0,null,230490,199673,311288,154519,301709,38207,167890,292336,194769,478307,325131,172357,231510,186604,134224,308315
14,1.435,204.87032,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,14,0,0,null,null,null,null,null,null,null,7.46,20250225_Lipids_LC_pos_13,204.87032:90858 205.87498:0 206.87965:0,null,311090,262148,223285,168873,0,2155091,0,373276,303783,34205,0,624950,0,685866,378271,308743
15,2.305,204.87033,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,15,0,0,null,null,null,null,null,null,null,16.63,20250225_Lipids_LC_pos_03,204.87033:186746 205.87500:0 206.87967:0,null,405949,285988,360068,221795,671747,517982,551786,358461,353210,729082,178485,163396,360914,440370,559916,523406
16,3.888,204.87033,Unknown,[M+H]+,null,0.19,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,16,0,0,null,null,null,null,null,null,null,18.38,20250225_Lipids_LC_pos_11,204.87033:187313 205.87500:0 206.87967:0,null,308359,258057,287207,214842,966075,132368,462226,480267,1354715,581865,241943,695288,1137070,514655,220772,1394694
17,0.743,205.06099,Unknown,[M+H]+,null,0.13,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,17,0,0,null,null,null,null,null,null,null,28.61,20250225_Lipids_LC_pos_11,205.06099:166256 206.06566:14914 207.07032:0,70.34104:4067 93.14984:4285 93.91777:4013 100.84386:4299 133.07571:11334 159.05496:15322 161.07094:23927 174.44321:4153 177.06601:9500 177.53288:3901,0,0,20793,7615,7316,0,1726,6832,974,7522,861650,58486,337887,0,0,0
18,1.016,205.16997,Unknown,[M+H]+,null,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,18,0,0,null,null,null,null,null,null,null,26.67,20250225_Lipids_LC_pos_08,205.16997:146240 206.17464:0 207.17930:0,null,0,0,0,52049,7039,389306,21517,176326,241677,1245622,0,0,0,0,11251,3112
19,0.741,206.06436,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,17,1,0,null,null,null,null,null,null,null,3.45,20250225_Lipids_LC_pos_09,206.06436:26687 207.06903:0 208.07370:0,null,1686,0,2024,0,0,0,0,0,0,0,42366,7947,28470,3421,0,0
20,1.039,206.09662,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,20,0,0,null,null,null,null,null,null,null,9.02,20250225_Lipids_LC_pos_13,206.09662:16485 207.10129:0 208.10595:0,null,24291,55438,16412,46004,0,10420,13098,27062,38615,32987,0,0,0,71153,68181,34282
21,0.812,206.13876,Unknown,[M+H]+,null,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,21,0,0,null,null,null,null,null,null,null,9.55,20250225_Lipids_LC_pos_08,206.13876:67744 207.14343:7310 208.14810:0,null,50139,68750,140324,140110,50554,18546,101759,68349,94288,532196,16708,6213,11798,87897,120145,70958
22,0.826,206.86842,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,22,0,0,null,null,null,null,null,null,null,14.6,20250225_Lipids_Blank_pos_03,206.86842:22765 207.87309:0 208.87776:0,null,143978,118440,6655,2769,0,0,11661,734,6944,2876,0,0,0,0,3869,0
23,3.131,206.86858,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,23,0,0,null,null,null,null,null,null,null,4.86,20250225_Lipids_LC_pos_03,206.86858:53595 207.87324:0 208.87791:0,null,44418,41492,51335,63711,173161,53429,42223,151615,99319,116822,85607,160192,49651,83174,79109,70786
24,1.023,207.00481,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,24,0,0,null,null,null,null,null,null,null,20.32,20250225_Lipids_LC_pos_13,207.00481:22603 208.00947:0 209.01414:0,null,1552,1663,0,53641,6809,0,0,11974,0,24220,0,0,0,97120,112690,81349
25,0.951,207.05554,Unknown,[M+H]+,null,0.44,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,25,0,0,null,null,null,null,null,null,null,3874.94,20250225_Lipids_LC_pos_09,207.05554:53069424 208.06021:7944318 209.06488:787355,72.09444:4034 90.64671:3581 179.06056:175539 195.83458:4222 197.07114:23923 207.05548:18646,0,8573,114156,0,26831406,40754127,7103184,13055,0,0,338852586,108504914,210693560,0,3736,0
26,6.977,207.05571,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,26,0,0,null,null,null,null,null,null,null,5.93,20250225_Lipids_LC_pos_09,207.05571:36852 208.06038:0 209.06505:0,null,1789,1576,0,0,9522,32688,1630,3542,0,4243,244859,26851,139322,23837,10204,9277
27,0.86,207.11333,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,27,0,0,null,null,null,null,null,null,null,5.39,20250225_Lipids_LC_pos_13,207.11333:48077 208.11799:0 209.12266:41376,null,68228,42958,57385,53030,0,0,27309,37957,59767,22826,0,0,0,83205,144219,32898
28,0.952,207.15904,Unknown,[M+H]+,null,0.5,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,28,0,0,null,null,null,null,null,null,null,18.45,20250225_Lipids_LC_pos_04,207.15904:200348 208.16371:0 209.16838:0,null,113191,170427,203845,269333,126245,457254,81415,145364,112130,421123,0,0,0,257559,440235,330665
29,0.951,208.0903,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,29,0,0,null,null,null,null,null,null,null,5.66,20250225_Lipids_LC_pos_06,208.09030:32067 209.09497:0 210.09964:0,null,24073,29856,0,5520,0,36090,65344,224076,22870,12721,884508,0,0,0,3558,14240
30,1.121,208.16966,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,30,0,0,null,null,null,null,null,null,null,11.75,20250225_Lipids_LC_pos_02,208.16966:19659 209.17433:0 210.17900:0,null,5944,7632,45358,55840,8182,0,6396,18087,17468,8474,0,0,0,13029,39652,12747
31,2.153,209.07123,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,31,0,0,null,null,null,null,null,null,null,13.55,20250225_Lipids_LC_pos_09,209.07123:81697 210.07590:16640 211.08056:2059664,null,2392,0,0,1385,0,0,0,0,2251,2167,969791,2051,130830,0,0,0
32,6.464,209.08093,Unknown,[M+H]+,null,0.31,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,32,0,0,null,null,null,null,null,null,null,16.26,20250225_Lipids_LC_pos_08,209.08093:265718 210.08560:0 211.09027:0,59.04886:11116 90.70547:4382 143.54735:4836 149.02281:189802,1430,0,2610,0,0,4727,2955,1733647,897906,2126918,14071,1482,11878,485908,301494,133603
33,0.907,209.09604,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,33,0,0,null,null,null,null,null,null,null,21.84,20250225_Lipids_LC_pos_07,209.09604:102634 210.10071:0 211.10537:0,null,70468,45710,26302,13248,0,0,17774,108,810697,419862,0,0,1766763,56509,88089,0
34,1.057,209.11743,Unknown,[M+H]+,null,0.25,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,34,0,0,null,null,null,null,null,null,null,16.77,20250225_Lipids_LC_pos_02,209.11743:96546 210.12210:0 211.12677:11684,null,15593,10450,1098211,1131730,93178,201138,84227,325043,96723,444531,88933,45509,0,652430,654422,520371
35,0.884,209.13821,Unknown,[M+H]+,null,0.44,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,35,0,0,null,null,null,null,null,null,null,24.31,20250225_Lipids_LC_pos_01,209.13840:346948 210.14306:0 211.14773:0,59.04898:25200 62.90041:3999 89.05993:5210 99.57141:4147 103.07507:9158 111.22614:3684 120.41587:4106 127.74406:3857 148.63121:8417 183.07068:3784,316168,230426,1797314,1858403,209235,1668236,976477,924060,333678,1094767,0,0,0,1045324,1269215,1057225
36,10.824,209.13821,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,36,0,0,null,null,null,null,null,null,null,10.47,20250225_Lipids_LC_pos_05,209.13821:110743 210.14288:0 211.14755:0,null,238229,150066,114874,321040,67923,85350,254767,157811,128660,739,293555,305172,313473,213745,208000,403169
37,12.976,209.13832,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,37,0,0,null,null,null,null,null,null,null,10.67,20250225_Lipids_LC_pos_02,209.13832:94931 210.14299:0 211.14766:0,null,382916,238040,668181,287316,354169,176893,170000,151022,259457,189059,123834,171222,63603,153801,293143,118951
38,5.637,209.13844,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,38,0,0,null,null,null,null,null,null,null,4.57,20250225_Lipids_LC_pos_02,209.13844:114849 210.14311:0 211.14778:0,null,201076,327693,322866,285656,195755,523436,222874,250206,371151,319188,380452,143921,266259,196813,195606,384720
39,11.959,209.13857,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,39,0,0,null,null,null,null,null,null,null,5.39,20250225_Lipids_LC_pos_05,209.13857:35388 210.14323:0 211.14790:11464,null,133392,126421,107654,281653,304978,160264,424602,170874,181633,79299,146237,227767,200000,203158,217428,225292
40,13.979,209.15376,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,40,0,0,null,null,null,null,null,null,null,3.43,20250225_Lipids_LC_pos_07,209.15376:13957 210.15843:0 211.16310:0,null,35287,57692,37389,30421,26377,36526,33367,0,44853,0,21907,19946,50436,13780,22658,33699
41,1.168,209.15381,Unknown,[M+H]+,null,0.19,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,41,0,0,null,null,null,null,null,null,null,26.01,20250225_Lipids_LC_pos_02,209.15381:83592 210.15848:8891 211.16314:7844,null,39913,52839,794857,1191120,0,0,0,406189,331486,371201,145836,87194,229573,525860,347515,435816
42,1.011,209.20135,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,42,0,0,null,null,null,null,null,null,null,3.24,20250225_Lipids_LC_pos_04,209.20135:22243 210.20602:12678 211.21069:0,null,19716,12222,0,16540,8532,60934,6052,36497,4592,43739,0,0,0,0,15590,3645
43,0.892,210.07896,Unknown,[M+H]+,null,0.19,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,43,0,0,null,null,null,null,null,null,null,1044.33,20250225_Lipids_LC_pos_11,210.07896:1845788 211.08363:1597574528 212.08830:249768623,55.60175:67280 61.14563:72281 69.96056:62156,10806,11612,0,3366,2349056,791432,421207,0,0,18455,15517073,11651647,10539519,9356,80,6229
44,1.17,210.19661,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,44,0,0,null,null,null,null,null,null,null,6.85,20250225_Lipids_Blank_pos_04,210.19661:42124 211.20128:0 212.20594:37934,null,15368,318868,133056,119144,0,0,0,72346,99085,32616,272512,0,0,34339,38148,35755
45,3.434,210.19661,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,45,0,0,null,null,null,null,null,null,null,9.74,20250225_Lipids_LC_pos_02,210.19661:46672 211.20128:0 212.20594:0,null,153145,45118,129628,201841,109072,12213,199844,80258,67153,32723,23387,40792,47266,81274,0,23765
46,1.037,210.19691,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,42,1,0,null,null,null,null,null,null,null,2.86,20250225_Lipids_LC_pos_05,210.19691:11670 211.20158:0 212.20625:22778,null,15368,121190,82196,123915,49645,65581,54781,68152,71641,70508,0,0,0,36141,39693,38061
47,0.917,210.20894,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,47,0,0,null,null,null,null,null,null,null,191.97,20250225_Lipids_LC_pos_10,210.20894:648617 211.21361:0 212.21827:0,null,0,0,249265,0,1634727,961956,102142,0,0,0,8064872,2615237,3567561,0,0,0
48,0.872,211.04977,Unknown,[M+H]+,null,0.19,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,48,0,0,null,null,null,null,null,null,null,1244.54,20250225_Lipids_LC_pos_10,211.04977:2202541 212.05444:0 213.05911:0,56.17116:27397 168.06793:80532 183.07344:50876 183.09167:792191 196.06319:205495 211.08664:15894238,0,1455,6404,4592,2973114,2662693,436888,12920,0,0,13547290,10335514,19428722,0,5025,4308
49,9.526,211.0865,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,49,0,0,null,null,null,null,null,null,null,3.38,20250225_Lipids_LC_pos_04,211.08650:95051 212.09117:0 213.09584:0,null,2753,3220,2150,0,136678,176371,12311,3347,0,0,492620,197598,598934,112633,50424,21377
50,5.57,211.08667,Unknown,[M+H]+,null,0.13,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,50,0,0,null,null,null,null,null,null,null,10.57,20250225_Lipids_LC_pos_09,211.08667:329726 212.09134:216301 213.09601:0,64.60402:3944 77.27038:3857 211.08604:9511,4421,0,3333,0,201992,171538,105437,0,5323,0,4742765,2086557,5322700,64751,10618,0
51,3.908,211.08669,Unknown,[M+H]+,null,0.06,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,51,0,0,null,null,null,null,null,null,null,16.94,20250225_Lipids_LC_pos_10,211.08669:435834 212.09135:107579 213.09602:0,89.79414:4065 129.04715:4361 139.18979:3938 149.40810:3695 164.95020:4653 173.51411:8677 176.72028:3618 211.08710:8016,1245,0,1521,0,1305309,1309694,151695,0,0,0,8038388,2069753,6714815,164168,0,0
52,0.879,211.08675,Unknown,[M+H]+,null,0.69,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,52,0,0,null,null,null,null,null,null,null,99577.98,20250225_Lipids_LC_pos_11,211.08675:3578787072 212.09141:531292774 213.09608:50021738,67.82427:80675 81.13403:80878 104.64374:84084 145.48820:75634 168.06836:596502 183.09189:5390703 196.06334:1746941 211.08669:121302168,20687,34378,20670,31042,5352548558,3279560605,787942092,375190,362694,154997,34031370004,17051732144,33066959870,2843864,868710,305927
53,6.993,211.08681,Unknown,[M+H]+,null,0.06,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,53,0,0,null,null,null,null,null,null,null,3.82,20250225_Lipids_LC_pos_09,211.08681:180963 212.09148:163424 213.09614:0,71.60987:3722 85.10797:4106 117.90712:4030 136.63553:4620 148.64523:5953 187.90755:3859 211.08612:4793,2270,0,3551,2727,265237,215765,53289,3745,2775,0,1123841,397339,959889,204527,21270,14346
54,1.113,211.08682,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,54,0,0,null,null,null,null,null,null,null,18.95,20250225_Lipids_LC_pos_07,211.08682:16333 212.09149:0 213.09616:0,null,5573,0,0,7913,69691398,49969435,48778795,41906,101931,125451,680101356,285689794,540202498,410628,311732,284145
55,3.356,211.08684,Unknown,[M+H]+,null,0.13,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,55,0,0,null,null,null,null,null,null,null,29.35,20250225_Lipids_LC_pos_09,211.08684:1114555 212.09151:480164 213.09617:79323,70.91706:4082 85.62038:3904 90.32594:3531 133.61324:3692 173.53685:6049 211.08592:21573,1749,1063,1102,0,503540,1434799,330963,0,0,0,7476692,5368767,9133533,51401,0,0
56,6.41,211.08696,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,56,0,0,null,null,null,null,null,null,null,1.66,20250225_Lipids_LC_pos_12,211.08696:25252 212.09163:38406 213.09630:0,null,4820,1562,5789,3491,146924,205640,51468,3010,0,0,982672,1155545,529792,128956,34540,27357
57,0.897,211.12344,Unknown,[M+H]+,null,0.75,TRUE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,57,0,0,null,null,null,null,null,null,null,156.89,20250225_Lipids_LC_pos_11,211.12344:2861634 212.12811:0 213.13278:0,71.26652:39507 76.98038:42901 85.09392:42362 134.24142:55090 168.06807:139385 183.09169:1290722 187.46565:43126 196.06302:352792 211.08669:24130666,26694,21560,397206,658913,2950683,1901196,81400,123369,197743,444129,14270742,9120680,23424268,432589,633254,360192
58,13.943,211.14429,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,58,0,0,null,null,null,null,null,null,null,2.24,20250225_Lipids_LC_pos_08,211.14429:20804 212.14895:0 213.15362:0,null,93824,55180,76131,72117,30076,43920,35128,37244,23336,36645,87801,38695,36421,12720,31924,51497
59,1.004,211.16945,Unknown,[M+H]+,null,0.13,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,59,0,0,null,null,null,null,null,null,null,11.52,20250225_Lipids_LC_pos_12,211.16945:39959 212.17412:0 213.17878:0,null,16167,8161,105887,28153,5208,11207,16276,21516,27764,70147,0,0,211650,92774,117751,30559
60,0.902,211.96747,Unknown,[M+H]+,null,0.06,FALSE,null,null,null,null,null,null,999,FALSE,FALSE,FALSE,Normalized unit: Intensity,FALSE,FALSE,60,0,0,null,null,null,null,null,null,null,1678637,20250225_Lipids_LC_pos_09,211.96747:1775531 212.97214:0 213.97680:0,null,0,0,0,0,1813984,259778,195028,0,0,0,8847513,6862335,3123872,0,0,0
