formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
6	C32H35N3O10	[M + H]+	C32H36N3O10+	Polyketides	0,510	Oligopeptides	0,213	Cyclic peptides	0,065	Organic acids and derivatives	0,995	Carboxylic acids and derivatives	0,978	Amino acids, peptides, and analogues	0,747	Amino acids and derivatives	0,739	Alpha amino acids and derivatives	0,801	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenols; Anisoles; Benzoic acids and derivatives; Benzamides; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Anilides; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; N-arylamides; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	622,240	46	0,760	692040713537851508	692039908256585559	8704	
9	C34H45NO5S2	[M + H]+	C34H46NO5S2+	Alkaloids	0,308	Tyrosine alkaloids	0,178	Chalcones	0,289	Organic oxygen compounds	0,999	Organooxygen compounds	0,994	Ethers	0,441	Alkyl aryl ethers	0,522	Alkyl aryl ethers	0,522	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Alkyl aryl ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Thioethers; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Sulfenyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	612,279	46	0,764	692040699038137858	692039901889630999	8426	
1	C19H28NO8P	[M + Na]+	C19H28NNaO8P+	Fatty acids	0,987	Glycerophospholipids	1,000	Glycerophosphoethanolamines	0,906	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	0,995	Amino acids, peptides, and analogues	0,707	Amino acids and derivatives	0,705	Amino acids and derivatives	0,705	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Phosphoethanolamines; Lysophosphatidylethanolamines; Secondary alcohols; 1-acyl-sn-glycero-3-phosphoethanolamines; Carbonyl compounds; Glycerophosphoethanolamines; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	452,147	46	0,766	692040691777794515	692039802438473067	4410	
1	C8H18N2O4S	[M + H]+	C8H19N2O4S+	Alkaloids	0,253	Small peptides	0,223	Aminoacids	0,134	Organic acids and derivatives	0,984	Organic sulfonic acids and derivatives	0,907	Organosulfonic acids and derivatives	0,906	Organosulfonamides	0,594	Organosulfonamides	0,594	Organic compounds; Organosulfur compounds; Ethers; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Sulfonyls; Dialkyl ethers; Organosulfonamides; Amines; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	239,106	46	0,766	692040710979325114	692039688043009323	269	
2	C14H13ClN2O3S3	[M + H]+	C14H14ClN2O3S3+	Amino acids and Peptides	0,807	Oligopeptides	0,138	Cephalosporins	0,042	Organohalogen compounds	0,999	Aryl halides	0,989	Aryl chlorides	0,989			Aryl chlorides	0,989	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Carboxylic acid derivatives; Organochlorides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	388,983	46	0,766	692040710639586306	692039766371647163	2938	
4	C26H44N4O14	[M + H]+	C26H45N4O14+	Carbohydrates	0,938	Oligopeptides	0,746	Aminoglycosides	0,642	Organic oxygen compounds	1,000	Organooxygen compounds	0,999	Carbohydrates and carbohydrate conjugates	0,661	Aminosaccharides	0,849	2-deoxystreptamine aminoglycosides	0,529	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Primary alcohols; Organooxygen compounds; Fatty amides; Hydroxamic acids; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Acetals; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Oxanes; Amines; Primary amines; Acetohydroxamic acids; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Acetamides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	637,290	46	0,767	692040711730105744	692039917123345647	9071	
7	C26H23F6NO4S	[M + H]+	C26H24F6NO4S+	Alkaloids	0,557	Ornithine alkaloids	0,026	Tropane alkaloids	0,023	Benzenoids	0,998	Benzene and substituted derivatives	0,991	Trifluoromethylbenzenes	0,835			Trifluoromethylbenzenes	0,835	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Alkyl fluorides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acid esters; Organofluorides; Organosulfonamides; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	560,132	46	0,769	692040702964008003	692039868234530103	7007	
1	C7H11N7O3	[M + H]+	C7H12N7O3+	Alkaloids	0,709	Histidine alkaloids	0,269	Imidazole alkaloids	0,275	Benzenoids	0,981	Benzene and substituted derivatives	0,986					Benzene and substituted derivatives	0,986	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Benzene and substituted derivatives; Benzenoids; Amines; Primary amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	242,100	46	0,773	692040695309399932	692039689716536803	316	
1	C18H34N2O2	[M + H]+	C18H35N2O2+	Amino acids and Peptides	0,216	Small peptides	0,427	Aminoacids	0,262	Organic acids and derivatives	0,941	Carboxylic acids and derivatives	0,895	Amino acids, peptides, and analogues	0,797	Amino acids and derivatives	0,796	Amino acids and derivatives	0,796	Organic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carbonyl compounds; Trialkylamines; Amines; Tertiary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	311,269	47	0,776	692040699524677344	692039725502342935	1420	
1	C25H45N5O10	[M + H]+	C25H46N5O10+	Amino acids and Peptides	0,957	Oligopeptides	0,982	Cyclic peptides	0,969	Organic acids and derivatives	0,999	Carboxylic acids and derivatives	0,993	Amino acids, peptides, and analogues	0,673	Amino acids and derivatives	0,634	Alpha amino acids and derivatives	0,644	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Hydroxamic acids; Carboxylic acid amides; Carboxylic acid derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Acetohydroxamic acids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	576,323	47	0,776	692040699575009020	692039878967755771	7444	
1	C13H13NO3	[M + H]+	C13H14NO3+	Alkaloids	0,978	Tryptophan alkaloids	0,865	Simple indole alkaloids	0,808	Organoheterocyclic compounds	0,989	Indoles and derivatives	0,887	Indolyl carboxylic acids and derivatives	0,757			Indolyl carboxylic acids and derivatives	0,757	Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Indolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	232,097	47	0,778	692040694042719555	692039686575002751	226	
1	C20H43NO11	[M + H]+	C20H44NO11+	Fatty acids	0,848	Spingolipids	0,411	Sphingoid bases	0,531	Organic oxygen compounds	0,997	Organooxygen compounds	0,996	Carbohydrates and carbohydrate conjugates	0,515			Carbohydrates and carbohydrate conjugates	0,515	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Dialkyl ethers; Secondary alcohols; 1,2-aminoalcohols; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	474,291	47	0,780	692040699168161353	692039817751879327	5012	
1	C38H37NO8	[M + H]+	C38H38NO8+	Fatty acids	0,433	Glycerophospholipids	0,095	Depsides and depsidones	0,040	Benzenoids	0,981	Phenol ethers	0,642					Phenol ethers	0,642	Organic compounds; Lipids and lipid-like molecules; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	636,256	47	0,781	692040709104470451	692039915785362455	9017	
1	C22H43NO	[M + H]+	C22H44NO+	Fatty acids	1,000	Fatty amides	0,999	Primary amides	0,953	Lipids and lipid-like molecules	0,757	Fatty Acyls	0,787	Fatty amides	0,805	N-acyl amines	0,636	N-acyl amines	0,636	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	338,342	47	0,781	692040692251751010	692039741612666763	1961	
1	C22H42O4	[M + H]+	C22H43O4+	Fatty acids	0,992	Fatty esters	0,988	Wax diesters	0,989	Lipids and lipid-like molecules	0,974	Fatty Acyls	0,988	Fatty acid esters	0,983			Fatty acid esters	0,983	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	371,316	47	0,783	692040695066130154	692039757194508599	2583	
3	C28H38FN7O8	[M + H]+	C28H39FN7O8+	Carbohydrates	0,306	Oligopeptides	0,697	Purine nucleosides	0,353	Organic acids and derivatives	0,893	Carboxylic acids and derivatives	0,718	Amino acids, peptides, and analogues	0,573	Amino acids and derivatives	0,561	Amino acids and derivatives	0,561	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Halobenzenes; Pyrimidines and pyrimidine derivatives; Imidazoles; Purines and purine derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Aryl fluorides; Carboxylic acid derivatives; Fluorobenzenes; Aminopyrimidines and derivatives; Diazines; Organofluorides; Secondary carboxylic acid amides; Imidazopyrimidines; Carbonyl compounds; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Primary amines; Aryl halides; 6-aminopurines; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	620,281	47	0,783	692040696668355122	692039906293650963	8621	
2	C26H42N5O8P	[M + H]+	C26H43N5O8P+	Fatty acids	0,913	Nucleosides	0,349	Pyrimidine nucleotides	0,051	Organic nitrogen compounds	1,000	Organonitrogen compounds	1,000	Quaternary ammonium salts	0,940	Cholines	0,984	Phosphocholines	0,986	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Phosphocholines; Aminopyrimidines and derivatives; Diazines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Imidolactams; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	584,284	47	0,785	692040706889877341	692039883967366975	7655	
1	C26H48NO12P	[M + H]+	C26H49NO12P+	Fatty acids	1,000	Glycerophospholipids	1,000	Oxidized glycerophospholipids	0,990	Lipids and lipid-like molecules	0,993	Glycerophospholipids	0,998	Glycerophosphocholines	0,998	Phosphatidylcholines	0,951	Phosphatidylcholines	0,951	Organic compounds; Lipids and lipid-like molecules; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Quaternary ammonium salts; Cholines; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Phosphocholines; Phosphatidylcholines; Carbonyl compounds; Glycerophosphocholines; Amines; Alpha,beta-unsaturated carbonyl compounds; Alkyl phosphates; Dialkyl phosphates; Organic cations; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	598,299	47	0,789	692040692302082682	692039893115145515	8036	
1	C10H13N5O4	[M + H]+	C10H14N5O4+	Carbohydrates	1,000	Nucleosides	1,000	Purine nucleosides	0,999	Nucleosides, nucleotides, and analogues	0,994	Purine nucleosides	0,979					Purine nucleosides	0,979	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Azoles; Purine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Imidolactams; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	268,104	47	0,791	692040704662701655	692039703226391551	710	
1	C15H26N4O3	[M + H]+	C15H27N4O3+	Amino acids and Peptides	0,492	Small peptides	0,612	Dipeptides	0,317	Organoheterocyclic compounds	0,923	Azoles	0,894	Imidazoles	0,706	Substituted imidazoles	0,707	N-substituted imidazoles	0,671	Organic compounds; Organoheterocyclic compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic carbonic acids and derivatives; Azoles; Ureas; Carboxylic acid derivatives; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Amines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	311,207	47	0,791	692040714141831505	692039725154215655	1408	
1	C22H30N4O5	[M + H]+	C22H31N4O5+	Amino acids and Peptides	1,000	Small peptides	0,988	Tripeptides	0,923	Organic acids and derivatives	1,000	Carboxylic acids and derivatives	1,000	Amino acids, peptides, and analogues	1,000	Peptides	0,998	Oligopeptides	0,977	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Pyrrolidinecarboxamides; Benzene and substituted derivatives; Alpha amino acid amides; N-acyl-alpha amino acids; Benzenoids; Amines; Primary amines; N-acylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Phenylalanine and derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities	431,229	47	0,791	692040713877590237	692039789650038111	3885	
